year;fluid_milk;fluid_yogurt;butter;cheese_american;cheese_other;cheese_cottage;evap_cnd_canned_whole_milk;evap_cnd_bulk_whole_milk;evap_cnd_bulk_and_can_skim_milk;frozen_ice_cream_regular;frozen_ice_cream_reduced_fat;frozen_sherbet;frozen_other;dry_whole_milk;dry_nonfat_milk;dry_buttermilk;dry_whey
1975;247;1.967838572;4.728192876;8.147222106;6.12640932;4.58853653;3.949932013;1.238596182;3.525306404;18.20505341;6.502201664;1.348779709;1.816893778;0.1;3.261768832;0.2;2.2
1976;247;2.132685119;4.313202009;8.883105923;6.627871672;4.632283808;3.791703261;1.100864446;3.590506111;17.63845254;6.169193019;1.364459834;1.678170936;0.2;3.504863898;0.2;2.4
1977;244;2.338368772;4.294180413;9.213004963;6.781846085;4.61771076;3.265568749;1.003802252;3.879376496;17.28894519;6.574221641;1.356253888;1.627777097;0.2;3.308310517;0.3;2.4
1978;241;2.448502819;4.354592628;9.525358852;7.309603073;4.600489701;3.148379298;0.900797421;3.469461105;17.22532965;6.550306624;1.294786261;1.511782016;0.3;3.101835254;0.2;2.4
1979;238;2.44384706;4.491231032;9.597205128;7.567656795;4.434471574;3.12039584;0.937452241;3.332083269;16.94341383;6.197151807;1.202817089;1.413432272;0.3;3.282366533;0.2;2.7
1980;234;2.503008001;4.4675092;9.620139993;7.903713234;4.408807075;2.885797459;0.87676808;3.281816745;17.11750086;6.052009872;1.190465735;1.348989575;0.3;3.011035191;0.2;2.7
1981;230;2.435142586;4.238243914;10.15047007;8.031361158;4.270196464;2.993211439;1.050381962;3.157588513;16.99642556;5.941313064;1.193219867;1.688510475;0.4;2.144969256;0.2;2.7
1982;224;2.584112874;4.351327373;11.30677727;8.597416748;4.160421727;2.848200884;1.137573575;3.018295519;17.22871122;5.672558444;1.177924785;1.711544094;0.4;2.120932176;0.2;2.9
1983;223;3.158249647;4.906797492;11.60748932;8.956855749;4.088652921;2.756423428;1.064362976;3.122147439;17.66528529;5.909767954;1.222327971;1.708869133;0.4;2.235963928;0.2;3.1
1984;224;3.55408127;4.976297663;11.85311067;9.621486114;4.082962411;2.535922665;1.191618926;3.693786281;17.76956014;5.956047862;1.205425897;1.793118622;0.4;2.520309036;0.2;3.2
1985;227;3.941861733;4.87209078;12.18718811;10.35780363;4.025731131;2.391347397;1.285558326;3.822297518;17.74760343;5.932501908;1.212751503;2.677111202;0.4;2.264612146;0.2;3.5
1986;226;4.155395157;4.83248771;12.12195254;10.9961895;4.030733303;2.282876136;1.364559361;4.280588903;18.01197585;6.137103108;1.238723296;2.263028203;0.5;2.448121969;0.2;3.7
1987;223;4.423320868;4.435206998;12.40366304;11.6924021;3.892028138;2.284641215;1.461874493;4.238768719;17.93092371;6.326502035;1.235564488;2.284970594;0.5;2.478530008;0.2;3.6
1988;223;4.693475253;4.485595112;11.49932863;12.21287155;3.828243293;2.221794931;1.276590921;4.272976602;16.87814514;6.789622114;1.277849654;2.336942548;0.6;2.582317434;0.2;3.5
1989;223;3.671030395;4.430606205;11.02956635;12.76269699;3.52952592;2.027074658;1.045893135;4.715054459;15.75025673;7.134655659;1.275561773;4.126270508;0.5;2.125263805;0.2;3.5
1990;220;3.893943998;4.307093854;11.12700894;13.48035837;3.326243743;2.225600369;0.922477445;4.75172309;15.39747014;6.585722738;1.202964835;4.984168359;0.6;2.891321382;0.191498889;3.738026322
1991;218;4.102677391;4.376594225;11.03353939;13.90169354;3.230858446;2.074980483;1.079781187;4.987013448;15.85842607;6.28340822;1.117585101;5.862883788;0.4;2.585968843;0.237481903;3.574457677
1992;215;4.406486722;4.324157045;11.25585261;14.59112708;3.063520362;2.120906612;1.066131622;5.212056335;15.64302786;5.927736732;1.158065194;5.77358755;0.5;2.849903073;0.235894961;3.757191682
1993;210;4.872144627;4.654112313;11.3129815;14.71543294;2.874104244;1.944814105;0.866859062;5.338925285;15.45368965;5.803923075;1.163090046;6.539739871;0.4;2.437935871;0.190198075;3.78282838
1994;208;5.215688061;4.730370944;11.42372341;15.12879409;2.77486752;1.838011705;0.695639732;5.377230143;15.41512929;6.309312319;1.224965457;6.471021425;0.4;3.468982979;0.183725839;3.786878027
1995;205;6.137524057;4.610306859;11.68646248;14.98472603;2.667346946;1.391559456;0.590312731;4.485772274;14.9896645;6.965864712;1.201619166;5.709848175;0.4;3.412217284;0.210086398;4.087382081
1996;205;5.866494603;4.293474099;11.80824131;15.26057745;2.558711299;1.367482425;0.635171286;4.016598249;15.09083425;7.000485784;1.167365677;4.332380306;0.486352937;3.725067139;0.180544894;3.834038757
1997;201;5.745462807;4.187153217;11.81762754;15.47333673;2.586923942;1.748540357;0.727549884;3.944040365;15.53400193;7.247417656;1.160817996;3.855835785;0.384894301;3.317465007;0.192707513;3.928031202
1998;198;5.925067454;4.337769509;11.97505224;15.63074979;2.636582583;1.430711894;0.530044161;4.057269616;15.71048295;7.551925828;1.181391811;4.02766963;0.443870296;3.186615967;0.169856763;4.039693937
1999;197;6.129741419;4.614990314;12.70048163;16.18044348;2.577928634;1.515559989;0.526868951;4.402629487;16.1790085;7.007311292;1.169377072;3.820705063;0.395845503;2.677270783;0.173036299;3.99792052
2000;197;6.498220515;4.475057069;12.68966481;16.85400857;2.60282947;1.510101297;0.497611221;3.824587;16.09610992;6.640225224;1.10097916;3.696371974;0.26485997;2.652842641;0.21004924;3.743951445
2001;193;7.02045852;4.36024328;12.79741666;16.99194914;2.600689077;1.535732731;0.475947396;3.451047811;15.77447609;6.545885338;1.104767112;3.090684135;0.098924815;3.341847302;0.17118005;3.288459336
2002;192;8.02485205;4.408244364;12.83194699;17.40137095;2.596275663;1.897830924;0.440066372;3.740726471;16.19756686;5.795109422;1.184984641;3.090192812;0.194278851;3.077215416;0.194506606;3.351931259
2003;190;8.630779035;4.446558417;12.54865944;17.69586489;2.647689186;1.954395631;0.691158094;3.29901041;15.90195248;6.704843044;1.114780304;2.92896318;0.18262432;3.36978589;0.190478886;3.383862982
2004;187;9.227733285;4.518233255;12.87023969;18.09621508;2.654506731;1.67237479;0.609063567;3.249307064;14.62091403;6.512912344;1.121435385;2.909734657;0.143159354;4.284406422;0.165213228;3.022051166
2005;186;10.34484333;4.543488898;12.66224239;18.66296732;2.650359664;1.72405677;0.624077265;3.721864626;15.10738771;5.99656535;1.139485843;2.949833425;0.151758372;4.195904909;0.21524972;2.885994394
2006;184;11.06704416;4.680171486;13.0656122;19.09772385;2.602043022;1.642190788;0.624849816;4.224747954;15.31191949;6.123496875;1.189648718;2.996028456;0.111324708;3.196578325;0.24908709;2.825089149
2007;182;11.55283029;4.683704329;12.79172385;19.88105472;2.562880666;1.516508027;0.564260914;5.584490482;14.76172907;6.119125932;1.247003694;3.130422974;0.164556167;2.854720603;0.231414217;2.258857784
2008;179;11.72252706;4.978729895;13.13167051;19.01825667;2.342536893;1.664064877;0.673404155;5.107206152;14.23534079;6.107328328;1.135835115;3.076794255;0.094962617;3.049792346;0.259611487;2.921108191
2009;179;12.4577394;4.958938382;13.35530207;18.90166871;2.377704308;1.661284861;0.625261163;4.98428949;13.92274353;6.314089743;1.038253372;2.513015524;0.252191507;3.992427072;0.241228023;2.468395896
2010;178;13.43952228;4.911843757;13.30362964;19.41826479;2.321166592;1.467515344;0.493288234;5.213327251;13.95185766;6.478605168;0.954938912;2.560062736;0.205331638;3.223081325;0.260027022;1.890258819
2011;174;13.64154968;5.371542721;13.03478646;19.97106775;2.255966872;1.477392583;0.439139856;5.244674348;13.21310824;6.434312333;0.877712111;2.777979661;0.214441536;3.019383864;0.30397334;2.006516464
2012;170;14.02666702;5.50314619;13.24987146;20.03004368;2.255592406;1.435743953;0.558183349;5.344061512;13.16706044;6.987246263;0.838927669;2.754113322;0.170120296;3.616265466;0.3208106;2.154844892
2013;165;14.93039221;5.471001091;13.34837163;20.07644973;2.141939467;1.406200642;0.468860221;5.312945001;13.04118897;6.033129498;0.879206126;3.001558536;0.162358989;2.900974606;0.392407733;2.150679682
2014;159;14.84882699;5.496265269;13.65430154;20.48825492;2.09471057;0.940143952;0.459808487;5.434002205;12.46823158;6.192880096;0.911575393;2.878972716;0.198239103;3.124839932;0.297342284;2.235966002
2015;156;14.38331577;5.603520835;14.02669817;21.04539401;2.119676902;1.353309422;0.817664543;5.507524434;12.85688313;6.489448418;0.827638896;3.060302981;0.33472301;3.27130878;0.329950977;2.738287022
2016;154;13.73327488;5.694830871;14.34151381;22.04577588;2.153725085;1.389854576;0.650554622;5.392729853;12.91926052;6.387942422;0.820084129;2.792735627;0.268858766;2.979584784;0.314104287;2.353858175
2017;149;13.71708629;5.684123394;15.05574456;21.87437987;2.070937291;1.134227964;0.611223163;5.12355715;12.73672455;6.654305022;0.802910058;2.89839179;0.36568568;2.821328235;0.343742234;2.239670428
2018;145;13.6;6;15.40269631;22.58772953;2.12489702;1.322469307;0.584958059;4.901225372;11.96515753;6.620506484;0.703509071;0.418558852;0.359673715;2.273165809;0.206937267;2.21380638
2019;141;13.4;6.2;15.53888264;22.78576859;2.087857862;1.273877582;0.579512288;4.6;12.30010024;6.767276905;0.814142825;0.359744605;0.308651917;2.68320344;0.209766522;2.180015787
2020;141;13.6;6.3;15.5;22.6;2.022635418;1.6;0.473500758;4.8;12.68804322;6.541462178;0.678532389;0.272799561;0.29516247;2.427078733;0.216354913;1.640851679
2021;134;14.3;6.5;16.1;22.3;1.932260461;1.62049636;0.514142297;4.468816351;12.0482137;6.367184531;0.773768879;0.220087568;0.231851681;2.265601918;0.2;1.705091552
