"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","16,976,000","27.7"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","15,322,000","30.9"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","6,482,565,000","2.5"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","703,245,000","1.5"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","80,695,000","13.6"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","16,691,000","7.8"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","477,853,000","5.5"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","331,181,000","15.0"
"CENSUS","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","2,330,476,000","1.1"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","348,828,000","7.7"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","705,175,000","5.3"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","866,269,000","10.7"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","589,985,000","2.1"
"CENSUS","2017","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","164,418,000","5.8"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","32,717,000","22.3"
"CENSUS","2017","YEAR","","STATE","MAINE","23","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","133,470,000","13.3"
"CENSUS","2017","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","174,230,000","11.8"
"CENSUS","2017","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","44,816,000","9.4"
"CENSUS","2017","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","1,782,400,000","4.0"
"CENSUS","2017","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","1,728,768,000","2.8"
"CENSUS","2017","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","29,936,000","18.8"
"CENSUS","2017","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","216,966,000","13.1"
"CENSUS","2017","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","45,254,000","1.4"
"CENSUS","2017","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","287,152,000","6.7"
"CENSUS","2017","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","52,108,000","32.0"
"CENSUS","2017","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","23,803,000","13.3"
"CENSUS","2017","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","1,267,859,000","1.3"
"CENSUS","2017","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","2,520,468,000","2.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","183,901,000","16.1"
"CENSUS","2017","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","65,883,000","16.8"
"CENSUS","2017","YEAR","","STATE","OHIO","39","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","994,819,000","4.1"
"CENSUS","2017","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","172,706,000","6.5"
"CENSUS","2017","YEAR","","STATE","OREGON","41","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","506,330,000","5.6"
"CENSUS","2017","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","1,972,910,000","3.5"
"CENSUS","2017","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","4,563,000","4.7"
"CENSUS","2017","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","56,558,000","10.7"
"CENSUS","2017","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","494,563,000","4.4"
"CENSUS","2017","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","123,461,000","6.2"
"CENSUS","2017","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","2,158,644,000","4.1"
"CENSUS","2017","YEAR","","STATE","UTAH","49","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","355,675,000","2.4"
"CENSUS","2017","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","504,188,000","12.8"
"CENSUS","2017","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","333,834,000","6.0"
"CENSUS","2017","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","1,082,083,000","1.7"
"CENSUS","2017","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","22,414,000","4.6"
"CENSUS","2017","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","5,128,088,000","4.1"
"CENSUS","2017","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","20,782,000","2.7"
"CENSUS","2012","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","27,991,000","9.7"
"CENSUS","2012","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","762,912,000","1.5"
"CENSUS","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","27,529,000","4.9"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","6,944,530,000","3.3"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","559,177,000","8.9"
"CENSUS","2012","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","69,492,000","5.9"
"CENSUS","2012","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","16,391,000","60.0"
"CENSUS","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","508,847,000","2.9"
"CENSUS","2012","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","299,340,000","4.7"
"CENSUS","2012","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","2,332,454,000","1.5"
"CENSUS","2012","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","345,828,000","5.6"
"CENSUS","2012","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","652,371,000","1.7"
"CENSUS","2012","YEAR","","STATE","IOWA","19","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","795,216,000","1.8"
"CENSUS","2012","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","480,812,000","53.7"
"CENSUS","2012","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","203,864,000","4.1"
"CENSUS","2012","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","42,512,000","8.3"
"CENSUS","2012","YEAR","","STATE","MAINE","23","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","125,104,000","6.5"
"CENSUS","2012","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","186,640,000","5.0"
"CENSUS","2012","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","43,996,000","11.6"
"CENSUS","2012","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","1,535,748,000","1.4"
"CENSUS","2012","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","1,630,112,000","4.3"
"CENSUS","2012","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","41,915,000","16.8"
"CENSUS","2012","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","MILK","MILK - SALES, MEASURED IN $","SALES","SALES: (50,000 OR MORE $)","237,709,000","1.9"
