year;avg_milk_cow_number;milk_per_cow;milk_production_lbs;avg_price_milk;dairy_ration;milk_feed_price_ratio;milk_cow_cost_per_animal;milk_volume_to_buy_cow_in_lbs;alfalfa_hay_price;slaughter_cow_price
1980;10800000.00;11891.00;128000000000.00;0.367007785;0.136565197;2.717148609;3359.5328;9153.846154;203.2658501;1.291020462
1981;10900000.00;12183.00;133000000000.00;0.363691469;0.132701089;2.759031109;3162.534514;8695.652174;186.8530809;1.105042268
1982;11000000.00;12306.00;136000000000.00;0.353478848;0.114935251;3.088126904;2885.011186;8161.764706;189.0418741;1.038604027
1983;11100000.00;12622.00;140000000000.00;0.349292361;0.134452754;2.609619557;2645.375967;7573.529412;202.1272705;1.010636352
1984;10800000.00;12541.00;135000000000.00;0.342296765;0.135366623;2.54;2269.300774;6629.62963;201.5325026;1.009395127
1985;11000000.00;13024.00;143000000000.00;0.316081803;0.112008876;2.84;2140.396464;6771.653543;183.3647785;0.95347196
1986;10800000.00;13285.00;143000000000.00;0.310526201;0.093772702;3.39;2037.05188;6560;160.5834495;0.923629133
1987;10300000.00;13819.00;143000000000.00;0.30301775;0.083521752;3.64;2230.210641;7360;159.9125673;1.086015616
1988;10200000.00;14185.00;145000000000.00;0.289088229;0.111881391;2.63;2345.879894;8114.754098;195.5097376;1.135263694
1989;10000000.00;14323.00;144000000000.00;0.30204145;0.112541921;2.7;2287.519808;7573.529412;213.1687148;1.112889491
1990;9990000.00;14782.00;148000000000.00;0.278013966;0.098557371;2.82;2353.986864;8467.153285;187.8285352;1.082022238
1991;9830000.00;15031.00;148000000000.00;0.250390616;0.092053561;2.74;2257.620304;9016.393443;162.0526695;1.056976779
1992;9690000.00;15570.00;151000000000.00;0.2617319;0.087335256;3.01;2257.687381;8625.954198;150.8621339;0.992783062
1993;9580000.00;15722.00;151000000000.00;0.254036006;0.091292685;2.8;2302.2013;9062.5;172.0035454;0.995106665
1994;9490000.00;16179.00;154000000000.00;0.253365696;0.096009991;2.65;2280.29126;9000;182.4882664;0.87761979
1995;9470000.00;16405.00;155000000000.00;0.245482086;0.094980531;2.59;2184.210689;8897.637795;170.2750088;0.736832845
1996;9370000.00;16433.00;154000000000.00;0.269235404;0.111146247;2.44;1969.574431;7315.436242;171.7053305;0.596293176
1997;9250000.00;16871.00;156000000000.00;0.234695182;0.099199345;2.38;1941.087973;8270.676692;195.3293299;0.651676171
1998;9150000.00;17185.00;157000000000.00;0.263958208;0.080529889;3.34;1907.310919;7225.806452;160.560385;0.605230626
1999;9150000.00;17763.00;163000000000.00;0.231668455;0.064529451;3.59;2059.275152;8888.888889;132.3379233;0.599763888
2000;9200000.00;18197.00;167000000000.00;0.196557015;0.064601112;3.05;2141.352843;10894.30894;134.0343058;0.640424969
2001;9100000.00;18162.00;165000000000.00;0.230521222;0.067825299;3.39;2305.212218;10000;157.3819607;0.688161876
2002;9140000.00;18608.00;170000000000.00;0.18482208;0.071392836;2.6;2443.928325;13223.1405;154.7312121;0.612406116
2003;9080000.00;18759.00;170000000000.00;0.19119351;0.073455005;2.61;2049.594429;10720;143.8157583;0.65755272
2004;9010000.00;18960.00;171000000000.00;0.22939641;0.074100217;3.1;2251.219423;9813.664596;135.5481062;0.750311486
2005;9050000.00;19550.00;177000000000.00;0.212570677;0.06591758;3.24;2491.72251;11721.8543;144.329859;0.759341877
2006;9140000.00;19895.00;182000000000.00;0.182624458;0.07130973;2.57;2449.149712;13410.85271;152.4819846;0.694822357
2007;9190000.00;20204.00;186000000000.00;0.251783247;0.089584216;2.8;2412.373517;9581.151832;172.1397678;0.652659087
2008;9310000.00;20397.00;190000000000.00;0.223320781;0.111858746;2.01;2379.647664;10655.7377;196.8802512;0.627738851
2009;9200000.00;20561.00;189000000000.00;0.166813276;0.094724778;1.78;1811.487922;10859.375;160.1885303;0.578330551
2010;9120000.00;21142.00;193000000000.00;0.210046621;0.092819924;2.26;1713.877337;8159.509202;150.0179599;0.722921193
2011;9200000.00;21334.00;196000000000.00;0.242578453;0.129809131;1.9;1713.738325;7064.676617;212.5075751;0.824283997
2012;9240000.00;21722.00;201000000000.00;0.218618792;0.143579369;1.52;1689.864178;7729.72973;243.5334564;0.9183171
2013;9220000.00;21816.00;201000000000.00;0.237216291;0.138190105;1.75;1628.649163;6865.671642;242.9165632;0.915348037
2014;9260000.00;22259.00;206000000000.00;0.273493054;0.108371623;2.54;2085.384537;7625;228.1957669;1.162801301
2015;9320000.00;22372.00;209000000000.00;0.197397526;0.092811468;2.14;2297.199282;11637.4269;191.4294256;1.149292264
2016;9334000.00;22761.00;212000000000.00;0.192588971;0.085778892;2.26;2079.488279;10797.54601;163.4406896;0.827896271
2017;9406000.00;22914.00;216000000000.00;0.208987059;0.086192403;2.42;1912.762916;9152.542373;171.9951692;0.769355751
2018;9398000.00;23150.00;218000000000.00;0.193339889;0.094297676;2.05;1613.14263;8343.558282;206.5890087;0.681196921
2019;9337000.00;23395.00;218000000000.00;0.218370309;0.097679622;2.25;1414.710873;6478.494624;214.7542846;0.662507341
2020;9388000.00;23777.00;22322000000.00;0.205787436;0.089062104;2.31;1461.877962;7103.825137;192.6642702;0.681572487
2021;9448000.00;23948.00;226000000000.00;0.207468655;0.117879917;1.76;1512.191317;7288.770053;216.8990481;0.720149218
